City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Charagua,BO,-19.8,-63.2167,66.2,88,90,4.03,overcast clouds
80,Tornio,FI,65.8481,24.1466,32.0,100,75,6.91,broken clouds
81,Aksu,CN,41.1231,80.2644,53.76,42,100,2.64,overcast clouds
82,Chapais,CA,49.7834,-74.8492,30.2,93,90,10.36,light snow
83,Duluth,US,46.7833,-92.1066,41.0,41,1,4.61,clear sky
84,George,ZA,-33.963,22.4617,55.4,94,0,2.3,clear sky
85,Beloha,MG,-25.1667,45.05,68.38,90,2,3.62,light rain
86,Hermanus,ZA,-34.4187,19.2345,64.0,80,100,10.0,overcast clouds
87,Lodwar,KE,3.1191,35.5973,82.53,44,32,4.38,scattered clouds
88,Koslan,RU,63.4564,48.8989,29.03,96,100,7.45,light snow
89,Kilis,TR,36.7161,37.115,37.4,75,0,4.65,clear sky
90,Tondano,ID,1.3038,124.9112,82.4,83,40,3.44,scattered clouds
91,Nanortalik,GL,60.1432,-45.2371,21.63,69,0,19.17,clear sky
92,Saint-Georges,GD,12.0564,-61.7485,77.68,84,90,15.52,overcast clouds
93,Visby,SE,57.6409,18.296,42.01,100,90,18.41,light intensity drizzle
94,Balkanabat,TM,39.5108,54.3671,44.44,61,0,3.47,clear sky
95,Twin Falls,US,42.3505,-114.6445,68.0,17,1,24.16,clear sky
96,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,75,4.61,broken clouds
97,Otradnoye,RU,59.7775,30.8181,39.0,93,0,4.47,light rain
98,Hithadhoo,MV,-0.6,73.0833,80.53,75,100,31.65,heavy intensity rain
99,Jilib,SO,0.4883,42.7854,76.3,83,100,5.68,overcast clouds
100,Tiksi,RU,71.6872,128.8694,6.67,90,100,0.72,overcast clouds
101,Sur,OM,22.5667,59.5289,82.51,36,6,4.43,clear sky
102,Port Moresby,PG,-9.4431,147.1797,87.8,74,40,10.36,haze
103,Faanui,PF,-16.4833,-151.75,82.81,72,35,21.32,scattered clouds
104,Mahebourg,MU,-20.4081,57.7,73.4,94,20,5.75,few clouds
105,Dauphin,CA,51.1494,-100.0502,46.4,42,1,12.66,clear sky
106,Pingliang,CN,35.5392,106.6861,51.46,35,5,4.5,clear sky
107,Hualmay,PE,-11.0964,-77.6139,69.64,83,76,7.94,broken clouds
108,Loding,NO,67.3,14.75,44.6,61,75,12.66,broken clouds
109,Ulaangom,MN,49.9811,92.0667,22.5,88,100,3.38,overcast clouds
110,Ribeira Grande,PT,38.5167,-28.7,60.51,84,100,23.85,overcast clouds
111,Torbay,CA,47.6666,-52.7314,23.0,86,75,4.61,broken clouds
112,Broome,US,42.2506,-75.833,46.99,81,75,6.91,broken clouds
113,Thompson,CA,55.7435,-97.8558,24.8,80,90,9.22,snow
114,Clyde River,CA,70.4692,-68.5914,-5.8,84,75,5.75,broken clouds
115,Saint Marys,US,30.7305,-81.5465,79.0,61,1,9.22,clear sky
116,Rennes,FR,48.1667,-1.6667,42.8,81,0,2.3,clear sky
117,Yulara,AU,-25.2406,130.9889,78.8,36,0,14.97,clear sky
118,Mana,GF,5.6592,-53.7767,77.77,84,100,12.62,light rain
119,Lompoc,US,34.6391,-120.4579,64.0,72,0,13.8,clear sky
120,Soe,ID,-9.8607,124.284,71.56,83,86,2.95,light rain
121,Copala,MX,16.65,-98.9833,78.69,64,5,6.02,clear sky
122,Henties Bay,NA,-22.116,14.2845,60.01,90,0,3.0,clear sky
123,Spruce Grove,CA,53.5334,-113.9187,37.4,81,90,25.32,light rain
124,Veydelevka,RU,50.1521,38.4492,34.57,80,96,4.29,overcast clouds
125,Avarua,CK,-21.2078,-159.775,82.4,78,90,23.02,overcast clouds
126,Coyah,GN,9.75,-13.4167,74.61,85,53,0.92,broken clouds
127,Atuona,PF,-9.8,-139.0333,80.98,74,80,15.23,broken clouds
128,Galt,US,38.2546,-121.3,80.01,28,0,4.0,clear sky
129,Kamaishi,JP,39.2667,141.8833,57.2,94,75,3.44,fog
130,San Quintin,MX,30.4833,-115.95,66.76,44,8,12.75,clear sky
131,Constitucion,CL,-35.3333,-72.4167,56.53,69,0,1.74,clear sky
132,Saldanha,ZA,-33.0117,17.9442,64.4,59,100,3.44,overcast clouds
133,Snellville,US,33.8573,-84.0199,61.0,51,1,9.22,clear sky
134,Karachi,PK,24.9056,67.0822,77.0,83,3,11.5,smoke
135,Longyearbyen,SJ,78.2186,15.6401,28.4,74,20,2.3,few clouds
136,Chuy,UY,-33.6971,-53.4616,62.78,92,3,4.68,clear sky
137,Itoman,JP,26.1247,127.6694,73.4,88,75,2.3,broken clouds
138,Labrea,BR,-7.2586,-64.7981,73.85,91,100,1.19,moderate rain
139,Manakara,MG,-22.1333,48.0167,72.66,93,11,5.53,few clouds
140,Sabang,ID,5.8933,95.3214,81.52,70,96,2.77,overcast clouds
141,Pozo Colorado,PY,-23.4923,-58.7972,66.7,86,100,4.5,overcast clouds
142,Cabo San Lucas,MX,22.8909,-109.9124,77.0,29,40,17.27,scattered clouds
143,Pandan,PH,14.0453,124.1694,83.03,73,100,8.01,overcast clouds
144,Victoria,HK,22.2855,114.1577,78.01,86,24,1.01,few clouds
145,Sitka,US,57.0531,-135.33,39.2,48,20,16.11,few clouds
146,Barrow,US,71.2906,-156.7887,-11.2,64,1,13.8,clear sky
147,Bambous Virieux,MU,-20.3428,57.7575,75.99,94,20,5.75,few clouds
148,Rocha,UY,-34.4833,-54.3333,61.14,95,94,4.32,overcast clouds
149,Alytus,LT,54.4,24.05,32.0,86,99,3.44,overcast clouds
150,Portmore,JM,17.9702,-76.8672,82.4,51,20,21.85,few clouds
151,Richards Bay,ZA,-28.783,32.0377,67.59,79,100,4.68,overcast clouds
152,Novikovo,RU,51.1537,37.8879,32.31,97,100,5.28,overcast clouds
153,Okha,RU,53.5739,142.9478,30.94,87,100,13.44,overcast clouds
