City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Gayeri,BF,2021-03-28 15:15:15,12.6497,0.4931,99.07,7,3,12.08
68,Pasni,PK,2021-03-28 15:15:15,25.2631,63.471,79.74,75,3,14.2
69,Saldanha,ZA,2021-03-28 15:15:15,-33.0117,17.9442,80.6,29,100,12.66
70,New Norfolk,AU,2021-03-28 15:15:16,-42.7826,147.0587,54.0,67,54,1.99
71,Port Lincoln,AU,2021-03-28 15:15:16,-34.7333,135.8667,60.85,78,6,8.28
72,Belaya Gora,RU,2021-03-28 15:15:16,68.5333,146.4167,-5.26,97,100,3.8
73,Hasaki,JP,2021-03-28 15:15:16,35.7333,140.8333,59.0,94,75,3.44
74,Castro,BR,2021-03-28 15:15:17,-24.7911,-50.0119,78.51,56,17,9.01
75,Solnechnyy,RU,2021-03-28 15:15:17,50.7214,136.6319,29.52,95,100,4.45
76,Tiksi,RU,2021-03-28 15:15:17,71.6872,128.8694,2.59,98,100,1.19
77,Hvide Sande,DK,2021-03-28 15:15:17,56.0045,8.1294,46.0,79,100,5.01
78,Havelock,US,2021-03-28 15:15:18,34.8791,-76.9013,72.0,91,100,17.0
79,Lagoa,PT,2021-03-28 15:15:18,39.05,-27.9833,59.41,82,100,18.72
80,Berlevag,NO,2021-03-28 15:15:18,70.8578,29.0864,37.4,75,40,8.05
81,Dikson,RU,2021-03-28 15:15:18,73.5069,80.5464,-21.78,100,20,7.11
82,Boueni,YT,2021-03-28 15:15:19,-12.9025,45.0761,84.2,70,0,2.3
83,Bilibino,RU,2021-03-28 15:15:19,68.0546,166.4372,-24.77,96,31,4.14
84,Christchurch,NZ,2021-03-28 15:12:38,-43.5333,172.6333,64.0,100,100,3.44
85,Margate,GB,2021-03-28 15:15:16,51.3813,1.3862,55.0,61,100,8.01
86,Hobart,AU,2021-03-28 15:12:54,-42.8794,147.3294,55.4,47,40,13.8
87,Rota,ES,2021-03-28 15:15:19,36.6224,-6.3586,71.6,60,0,18.41
88,Broken Hill,AU,2021-03-28 15:15:19,-31.95,141.4333,62.6,48,0,9.22
89,Aktash,RU,2021-03-28 15:15:20,50.3,87.7333,20.68,96,100,2.91
90,Khatanga,RU,2021-03-28 15:15:20,71.9667,102.5,-1.03,97,99,6.98
91,Riyadh,SA,2021-03-28 15:11:14,24.6877,46.7219,73.4,9,4,14.97
92,Mehamn,NO,2021-03-28 15:15:20,71.0357,27.8492,37.4,65,0,12.66
93,Faya,SA,2021-03-28 15:15:20,18.3851,42.4509,75.2,46,0,17.27
94,Zdvinsk,RU,2021-03-28 15:15:21,54.7021,78.661,31.64,99,100,3.06
95,Emerald,AU,2021-03-28 15:15:21,-23.5333,148.1667,75.2,64,40,6.91
96,Pemberton,CA,2021-03-28 15:15:21,50.3164,-122.8027,42.01,100,90,4.61
97,Isangel,VU,2021-03-28 15:15:21,-19.55,169.2667,76.84,87,4,6.53
98,Wasilla,US,2021-03-28 15:12:23,61.5814,-149.4394,12.99,66,1,3.74
99,Yellowknife,CA,2021-03-28 15:15:22,62.456,-114.3525,12.2,62,75,12.66
100,Jurm,AF,2021-03-28 15:15:22,36.8648,70.8342,47.19,98,100,3.02
101,Samoylovka,RU,2021-03-28 15:15:22,51.184,43.7081,33.03,93,100,8.97
102,Chegdomyn,RU,2021-03-28 15:15:23,51.1167,133.0167,26.02,94,100,3.49
103,Poum,NC,2021-03-28 15:15:23,-20.2333,164.0167,80.35,76,15,10.78
104,Mahibadhoo,MV,2021-03-28 15:15:23,3.7833,72.9667,80.69,78,100,11.92
105,Kautokeino,NO,2021-03-28 15:15:23,69.0125,23.0412,27.97,87,85,7.43
106,Eganville,CA,2021-03-28 15:15:23,45.5334,-77.0994,35.6,93,90,6.91
107,Aksarka,RU,2021-03-28 15:15:24,66.5606,67.7975,-5.12,96,19,7.87
108,Takoradi,GH,2021-03-28 15:15:24,4.8845,-1.7554,84.43,69,9,11.5
109,Guanare,VE,2021-03-28 15:15:24,9.0418,-69.7421,87.69,46,93,4.63
110,Puerto Ayora,EC,2021-03-28 15:15:25,-0.7393,-90.3518,81.0,78,40,9.22
111,Barrow,US,2021-03-28 15:15:25,71.2906,-156.7887,-29.2,75,40,9.22
112,Poronaysk,RU,2021-03-28 15:15:25,49.2167,143.1167,29.75,98,100,2.66
113,Atar,MR,2021-03-28 15:15:25,20.5169,-13.0499,98.6,22,15,4.61
114,Dingle,PH,2021-03-28 15:15:25,10.9995,122.6711,76.95,86,80,5.79
115,College,US,2021-03-28 15:15:26,64.8569,-147.8028,5.0,66,75,3.44
116,Vaini,TO,2021-03-28 15:15:26,-21.2,-175.2,73.4,94,75,3.44
117,Guerrero Negro,MX,2021-03-28 15:15:26,27.9769,-114.0611,65.01,36,0,3.6
118,Sayyan,YE,2021-03-28 15:15:27,15.1718,44.3244,65.44,14,0,15.39
119,Souillac,MU,2021-03-28 15:15:27,-20.5167,57.5167,80.6,83,40,2.24
120,Sao Joao Da Barra,BR,2021-03-28 15:15:27,-21.6403,-41.0511,89.6,55,40,2.3
121,Ko Samui,TH,2021-03-28 15:12:19,9.5357,99.9357,84.09,73,60,12.08
122,Jember,ID,2021-03-28 15:15:27,-8.166,113.7032,74.64,96,99,0.36
123,Vestmannaeyjar,IS,2021-03-28 15:15:28,63.4427,-20.2734,35.6,64,20,11.5
124,Ust-Kulom,RU,2021-03-28 15:15:28,61.6864,53.6902,31.78,91,100,9.17
125,Tuktoyaktuk,CA,2021-03-28 15:15:28,69.4541,-133.0374,-25.6,75,40,10.36
126,Saint George,US,2021-03-28 15:13:32,37.1041,-113.5841,48.2,43,1,5.75
127,Blagoyevo,RU,2021-03-28 15:15:28,63.3667,47.9167,33.28,84,100,10.11
128,Mount Gambier,AU,2021-03-28 15:15:29,-37.8333,140.7667,55.4,94,90,8.05
129,Kutno,PL,2021-03-28 15:15:29,52.2306,19.3641,50.0,54,95,3.0
130,Lockhart,US,2021-03-28 15:15:29,28.6194,-81.4426,82.99,69,75,13.8
131,Sharanga,RU,2021-03-28 15:15:29,57.1775,46.5396,28.49,92,14,3.22
132,Manama,BH,2021-03-28 15:15:30,26.2154,50.5832,68.0,60,0,27.63
133,Nome,US,2021-03-28 15:15:30,64.5011,-165.4064,8.6,78,90,23.02
134,Labytnangi,RU,2021-03-28 15:15:30,66.6572,66.4183,3.42,96,97,2.91
135,Ypsonas,CY,2021-03-28 15:11:21,34.6884,32.9574,60.8,48,40,9.22
136,Qeshm,IR,2021-03-28 15:15:30,26.9581,56.2719,86.0,54,3,11.5
137,Zhigansk,RU,2021-03-28 15:15:31,66.7697,123.3711,-2.51,99,78,3.85
138,Upernavik,GL,2021-03-28 15:15:31,72.7868,-56.1549,-18.08,82,93,5.79
139,Mezdra,BG,2021-03-28 15:15:31,43.15,23.7,51.8,62,40,19.57
140,Coihaique,CL,2021-03-28 15:15:32,-45.5752,-72.0662,60.8,67,75,2.3
141,Himensulan,PH,2021-03-28 15:15:32,10.5967,124.2821,82.65,74,100,11.83
142,Pevek,RU,2021-03-28 15:15:32,69.7008,170.3133,-18.33,97,24,1.72
143,Kuching,MY,2021-03-28 15:15:32,1.55,110.3333,80.6,89,20,2.3
144,Bengkulu,ID,2021-03-28 15:15:33,-3.8004,102.2655,79.59,85,97,4.23
145,Mahebourg,MU,2021-03-28 15:15:33,-20.4081,57.7,80.6,83,40,1.05
146,Miles City,US,2021-03-28 15:12:46,46.4083,-105.8406,42.8,61,1,6.91
147,Kaeo,NZ,2021-03-28 15:15:33,-35.1,173.7833,66.99,96,100,5.01
148,Bandarbeyla,SO,2021-03-28 15:15:33,9.4942,50.8122,80.55,68,90,8.34
149,Seminole,US,2021-03-28 15:13:18,28.7086,-81.2081,82.4,57,75,12.66
150,Airai,TL,2021-03-28 15:15:34,-8.9266,125.4092,60.42,93,100,2.59
151,Zhob,PK,2021-03-28 15:15:34,31.3411,69.4481,77.63,16,0,13.91
152,Comodoro Rivadavia,AR,2021-03-28 15:15:34,-45.8667,-67.5,68.0,56,0,5.75
153,Pozo Colorado,PY,2021-03-28 15:15:34,-23.4923,-58.7972,67.6,86,100,3.33
154,Porto Santo,PT,2021-03-28 15:15:35,33.072,-16.3415,66.2,72,40,8.05
155,Eureka,US,2021-03-28 15:15:35,40.8021,-124.1637,42.8,100,90,3.44
156,Santa Maria,BR,2021-03-28 15:15:35,-29.6842,-53.8069,75.2,78,75,8.05
157,Pimentel,PE,2021-03-28 15:15:35,-6.8367,-79.9342,77.0,65,0,5.75
158,Kapaa,US,2021-03-28 15:15:36,22.0752,-159.319,73.0,73,20,17.27
159,Ribeira Grande,PT,2021-03-28 15:15:36,38.5167,-28.7,62.6,72,40,14.97
160,Sar-E Pul,AF,2021-03-28 15:14:14,35.8333,66.1667,40.95,95,98,9.31
161,Sault Sainte Marie,CA,2021-03-28 15:15:31,46.5168,-84.3333,33.8,80,90,6.91
162,Killybegs,IE,2021-03-28 15:15:36,54.6333,-8.45,55.0,87,90,33.38
163,Rottweil,DE,2021-03-28 15:15:37,48.1678,8.6272,57.0,43,93,6.31
164,Saskylakh,RU,2021-03-28 15:15:37,71.9167,114.0833,-4.13,100,97,2.01
165,Brae,GB,2021-03-28 15:15:37,60.3964,-1.353,48.2,66,20,17.27
166,Otane,NZ,2021-03-28 15:15:37,-39.8833,176.6333,66.0,71,97,2.15
167,Ostrovnoy,RU,2021-03-28 15:15:38,68.0531,39.5131,35.47,97,100,18.03
168,Chuy,UY,2021-03-28 15:15:38,-33.6971,-53.4616,70.66,83,66,8.72
169,Berdigestyakh,RU,2021-03-28 15:15:38,62.0989,126.6992,0.48,100,81,2.39
170,Praia,CV,2021-03-28 15:15:38,14.9215,-23.5087,75.2,53,20,25.32
171,Hinton,CA,2021-03-28 15:15:39,53.4001,-117.5857,41.0,65,91,8.05
172,Viedma,AR,2021-03-28 15:15:39,-40.8135,-62.9967,72.93,18,5,11.72
173,Rocha,UY,2021-03-28 15:15:26,-34.4833,-54.3333,68.27,86,82,8.41
174,Ixtapa,MX,2021-03-28 15:15:39,20.7,-105.2,66.2,68,40,4.61
175,Coos Bay,US,2021-03-28 15:15:39,43.3665,-124.2179,46.4,87,90,4.61
176,Goderich,CA,2021-03-28 15:12:41,43.7501,-81.7165,42.8,87,100,13.8
177,Hermanus,ZA,2021-03-28 15:15:40,-34.4187,19.2345,73.0,62,100,7.0
178,Puerto Del Rosario,ES,2021-03-28 15:15:40,28.5004,-13.8627,73.4,60,20,18.41
179,Ust-Kuyga,RU,2021-03-28 15:15:40,70.0167,135.6,3.74,99,100,2.89
180,Leningradskiy,RU,2021-03-28 15:15:40,69.3833,178.4167,-17.18,94,21,3.53
181,Bafq,IR,2021-03-28 15:15:41,31.6128,55.4107,67.71,11,0,17.72
182,Borogontsy,RU,2021-03-28 15:15:41,62.6683,131.1683,0.32,99,74,3.27
183,Cockburn Town,TC,2021-03-28 15:14:00,21.4612,-71.1419,77.5,74,0,22.01
184,San Andres,CO,2021-03-28 15:15:41,12.5847,-81.7006,82.4,69,40,17.27
185,Glendive,US,2021-03-28 15:15:41,47.1053,-104.7125,39.2,65,75,6.91
186,Saint-Gabriel,CA,2021-03-28 15:15:42,46.3001,-73.3824,36.0,86,100,1.01
